value,unit,rawValue
174.9845881527,degrees,4.86068300424207
175.0944547868,degrees,4.86373485518967
175.1823480941,degrees,4.86617633594775
175.2922147282,degrees,4.86922818689535
175.3801080355,degrees,4.87166966765343
175.4789880062,degrees,4.87441633350627
175.5888546403,degrees,4.87746818445387
175.6987212745,degrees,4.88052003540147
175.7646412549,degrees,4.88235114597003
175.8854945524,degrees,4.88570818201239
175.9953611866,degrees,4.88876003295999
176.0832544939,degrees,4.89120151371807
176.1821344646,degrees,4.89394817957091
176.2810144353,degrees,4.89669484542375
176.3908810694,degrees,4.89974669637135
176.4897610401,degrees,4.90249336222419
176.5886410108,degrees,4.90524002807703
176.6765343181,degrees,4.90768150883511
176.7864009522,degrees,4.91073335978271
176.8852809229,degrees,4.91348002563555
176.9841608936,degrees,4.91622669148839
177.0830408643,degrees,4.91897335734123
177.1929074984,degrees,4.92202520828883
177.2917874691,degrees,4.92477187414167
177.3796807764,degrees,4.92721335489975
177.4895474105,degrees,4.93026520584735
177.5884273812,degrees,4.93301187170019
177.6873073519,degrees,4.93575853755303
177.7861873226,degrees,4.93850520340587
177.8850672933,degrees,4.94125186925871
177.9949339274,degrees,4.94430372020631
178.0828272347,degrees,4.94674520096439
178.170720542,degrees,4.94918668172247
178.2805871761,degrees,4.95223853267006
178.3794671468,degrees,4.9549851985229
178.4783471175,degrees,4.95773186437574
178.5882137516,degrees,4.96078371532334
178.6761070589,degrees,4.96322519608142
178.7749870296,degrees,4.96597186193426
178.9837336344,degrees,4.9717703787347
178.9837336344,degrees,4.9717703787347
179.0936002686,degrees,4.9748222296823
179.1924802393,degrees,4.97756889553514
179.29136021,degrees,4.98031556138798
179.3682668538,degrees,4.9824518570513
179.478133488,degrees,4.9855037079989
179.5770134587,degrees,4.98825037385174
179.7747734001,degrees,4.99374370555742
179.7857600635,degrees,4.99404889065218
179.9945066683,degrees,4.99984740745262
179.9725333415,degrees,4.9992370372631
180.0714133122,degrees,5.00198370311594
180.1812799463,degrees,5.00503555406354
180.280159917,degrees,5.00778221991638
180.4229865413,degrees,5.01174962614826
180.4889065218,degrees,5.01358073671682
180.6866664632,degrees,5.0190740684225
180.7965330973,degrees,5.0221259193701
180.8844264046,degrees,5.02456740012818
180.9833063753,degrees,5.02731406598102
181.082186346,degrees,5.03006073183386
181.1810663167,degrees,5.0328073976867
181.2799462874,degrees,5.03555406353954
181.3898129215,degrees,5.03860591448714
181.4777062288,degrees,5.04104739524522
181.5875728629,degrees,5.04409924619282
181.6864528336,degrees,5.04684591204566
181.7963194678,degrees,5.04989776299326
181.884212775,degrees,5.05233924375134
181.9940794092,degrees,5.05539109469894
182.0929593799,degrees,5.05813776055177
182.1808526872,degrees,5.06057924130985
182.2797326579,degrees,5.06332590716269
182.389599292,degrees,5.06637775811029
182.4884792627,degrees,5.06912442396313
182.5983458968,degrees,5.07217627491073
182.6862392041,degrees,5.07461775566881
182.7961058382,degrees,5.07766960661641
182.8730124821,degrees,5.07980590227973
182.9828791162,degrees,5.08285775322733
183.0927457503,degrees,5.08590960417493
183.2026123844,degrees,5.08896145512253
183.2905056917,degrees,5.09140293588061
183.3893856624,degrees,5.09414960173345
183.4772789697,degrees,5.09659108249153
183.5871456038,degrees,5.09964293343913
183.6860255745,degrees,5.10238959929197
183.7958922086,degrees,5.10544145023957
183.8947721793,degrees,5.10818811609241
183.99365215,degrees,5.11093478194525
184.0925321207,degrees,5.11368144779809
184.180425428,degrees,5.11612292855617
184.2793053987,degrees,5.11886959440901
184.4111453597,degrees,5.12253181554613
184.4880520035,degrees,5.12466811120945
184.5869319742,degrees,5.12741477706229
184.6967986084,degrees,5.13046662800989
184.7956785791,degrees,5.13321329386273
184.8835718863,degrees,5.13565477462081
184.9824518571,degrees,5.13840144047365
185.0923184912,degrees,5.14145329142125
185.1911984619,degrees,5.14419995727409
185.301065096,degrees,5.14725180822169
185.3889584033,degrees,5.14969328897977
185.4768517106,degrees,5.15213476973785
185.5867183447,degrees,5.15518662068545
185.6855983154,degrees,5.15793328653829
185.7844782861,degrees,5.16067995239113
185.9932248909,degrees,5.16647846919157
185.9932248909,degrees,5.16647846919157
186.0921048616,degrees,5.16922513504441
186.1690115055,degrees,5.17136143070772
186.3008514664,degrees,5.17502365184484
186.3777581103,degrees,5.17715994750816
186.4986114078,degrees,5.18051698355052
186.5974913785,degrees,5.18326364940336
186.6963713492,degrees,5.1860103152562
186.7732779931,degrees,5.18814661091952
187.0039979247,degrees,5.19455549790948
186.9710379345,degrees,5.1936399426252
187.091891232,degrees,5.19699697866756
187.2017578661,degrees,5.20004882961516
187.2896511734,degrees,5.20249031037324
187.3885311441,degrees,5.20523697622608
187.4764244514,degrees,5.20767845698416
187.597277749,degrees,5.21103549302652
187.6741843928,degrees,5.21317178868984
187.7840510269,degrees,5.21622363963744
187.8829309977,degrees,5.21897030549028
187.9818109684,degrees,5.22171697134312
188.0916776025,degrees,5.22476882229072
188.1905575732,degrees,5.22751548814356
188.2784508805,degrees,5.22995696890164
188.3883175146,degrees,5.23300881984924
188.4871974853,degrees,5.23575548570208
188.5970641194,degrees,5.23880733664968
188.6849574267,degrees,5.24124881740776
188.7948240608,degrees,5.24430066835536
188.8937040315,degrees,5.2470473342082
189.0035706656,degrees,5.2500991851558
189.0804773095,degrees,5.25223548081912
189.1793572802,degrees,5.25498214667196
189.2892239143,degrees,5.25803399761956
189.3990905484,degrees,5.26108584856716
189.4979705191,degrees,5.26383251442
189.5968504898,degrees,5.26657918027284
189.6847437971,degrees,5.26902066103092
189.7836237678,degrees,5.27176732688376
189.8934904019,degrees,5.27481917783135
189.9923703726,degrees,5.27756584368419
190.0912503433,degrees,5.28031250953703
190.2011169774,degrees,5.28336436048463
190.3878902554,degrees,5.28855250709555
190.4098635823,degrees,5.28916287728507
190.4867702261,degrees,5.29129917294839
190.5966368603,degrees,5.29435102389599
190.695516831,degrees,5.29709768974883
190.7834101382,degrees,5.29953917050691
190.9042634358,degrees,5.30289620654927
190.9811700797,degrees,5.30503250221259
